hidden_layers,activation,epochs,learning_rate,batch_size,accuracy,mae,mse,r2
[16],relu,50,0.01,512,0.8125,0.1875,0.1875,-0.08852164408373953
[16],relu,50,0.001,16,0.7596666666666667,0.24033333333333334,0.24033333333333334,-0.3952428540166688
[16],relu,50,0.001,32,0.7243333333333334,0.27566666666666667,0.27566666666666667,-0.6003687105017825
[16],relu,50,0.001,64,0.7846666666666666,0.21533333333333332,0.21533333333333332,-0.25010663480550366
[16],relu,50,0.001,128,0.7921666666666667,0.20783333333333334,0.20783333333333334,-0.20656576904215407
[16],relu,50,0.001,256,0.698,0.302,0.302,-0.7532455280708765
[16],relu,50,0.001,512,0.7901666666666667,0.20983333333333334,0.20983333333333334,-0.21817666657904722
[16],relu,50,0.0001,16,0.653,0.347,0.347,-1.014490722650974
[16],relu,50,0.0001,32,0.7776666666666666,0.22233333333333333,0.22233333333333333,-0.2907447761846298
[16],relu,50,0.0001,64,0.7868333333333334,0.21316666666666667,0.21316666666666667,-0.2375281624738692
[16],relu,50,0.0001,128,0.5365,0.4635,0.4635,-1.6908255041750042
[16],relu,50,0.0001,256,0.5471666666666667,0.4528333333333333,0.4528333333333333,-1.628900717311574
[16],relu,50,0.0001,512,0.7175,0.2825,0.2825,-0.6400392770861676
[16],relu,100,10.0,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],relu,100,10.0,32,0.779,0.221,0.221,-0.28300417782670095
[16],relu,100,10.0,64,0.781,0.219,0.219,-0.2713932802898078
[16],relu,100,10.0,128,0.779,0.221,0.221,-0.28300417782670095
[16],relu,100,10.0,256,0.7793333333333333,0.22066666666666668,0.22066666666666668,-0.2810690282372188
[16],relu,100,10.0,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],relu,100,1.0,16,0.8153333333333334,0.18466666666666667,0.18466666666666667,-0.07207287257314077
[16],relu,100,1.0,32,0.7933333333333333,0.20666666666666667,0.20666666666666667,-0.1997927454789663
[16],relu,100,1.0,64,0.8048333333333333,0.19516666666666665,0.19516666666666665,-0.1330300846418302
[16],relu,100,1.0,128,0.7796666666666666,0.22033333333333333,0.22033333333333333,-0.27913387864773664
[16],relu,100,1.0,256,0.7993333333333333,0.20066666666666666,0.20066666666666666,-0.16496005286828663
[16],relu,100,1.0,512,0.8066666666666666,0.19333333333333333,0.19333333333333333,-0.12238676189967812
[16],relu,100,0.1,16,0.8158333333333333,0.18416666666666667,0.18416666666666667,-0.06917014818891754
[16],relu,100,0.1,32,0.8153333333333334,0.18466666666666667,0.18466666666666667,-0.07207287257314077
[16],relu,100,0.1,64,0.8173333333333334,0.18266666666666667,0.18266666666666667,-0.06046197503624762
[16],relu,100,0.1,128,0.8175,0.1825,0.1825,-0.05949440024150654
[16],relu,100,0.1,256,0.8146666666666667,0.18533333333333332,0.18533333333333332,-0.0759431717521053
[16],relu,100,0.1,512,0.82,0.18,0.18,-0.044980778320389936
[16],relu,100,0.01,16,0.8183333333333334,0.18166666666666667,0.18166666666666667,-0.05465652626780093
[16],relu,100,0.01,32,0.8165,0.1835,0.1835,-0.06529984900995323
[16],relu,100,0.01,64,0.8151666666666667,0.18483333333333332,0.18483333333333332,-0.07304044736788184
[16],relu,100,0.01,128,0.8148333333333333,0.18516666666666667,0.18516666666666667,-0.07497559695736422
[16],relu,100,0.01,256,0.8136666666666666,0.18633333333333332,0.18633333333333332,-0.08174862052055176
[16],relu,100,0.01,512,0.813,0.187,0.187,-0.0856189196995163
[16],relu,100,0.001,16,0.7985,0.2015,0.2015,-0.16979792684199224
[16],relu,100,0.001,32,0.7936666666666666,0.20633333333333334,0.20633333333333334,-0.19785759588948415
[16],relu,100,0.001,64,0.7925,0.2075,0.2075,-0.2046306194526719
[16],relu,100,0.001,128,0.7988333333333333,0.20116666666666666,0.20116666666666666,-0.16786277725250986
[16],relu,100,0.001,256,0.7936666666666666,0.20633333333333334,0.20633333333333334,-0.19785759588948415
[16],relu,100,0.001,512,0.8021666666666667,0.19783333333333333,0.19783333333333333,-0.14851128135768787
[16],relu,100,0.0001,16,0.7983333333333333,0.20166666666666666,0.20166666666666666,-0.17076550163673332
[16],relu,100,0.0001,32,0.53,0.47,0.47,-1.7285609211699073
[16],relu,100,0.0001,64,0.3413333333333333,0.6586666666666666,0.6586666666666666,-2.8238555888168344
[16],relu,100,0.0001,128,0.7423333333333333,0.25766666666666665,0.25766666666666665,-0.4958706326697435
[16],relu,100,0.0001,256,0.7748333333333334,0.22516666666666665,0.22516666666666665,-0.30719354769522855
[16],relu,100,0.0001,512,0.6461666666666667,0.35383333333333333,0.35383333333333333,-1.0541612892353593
[16],relu,250,10.0,16,0.781,0.219,0.219,-0.2713932802898078
[16],relu,250,10.0,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],relu,250,10.0,64,0.7791666666666667,0.22083333333333333,0.22083333333333333,-0.2820366030319599
[16],relu,250,10.0,128,0.7793333333333333,0.22066666666666668,0.22066666666666668,-0.2810690282372188
[16],relu,250,10.0,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],relu,250,10.0,512,0.7805,0.2195,0.2195,-0.27429600467403104
[16],relu,250,1.0,16,0.78,0.22,0.22,-0.2771987290582545
[16],relu,250,1.0,32,0.8151666666666667,0.18483333333333332,0.18483333333333332,-0.07304044736788184
[16],relu,250,1.0,64,0.8193333333333334,0.18066666666666667,0.18066666666666667,-0.04885107749935447
[16],relu,250,1.0,128,0.7885,0.2115,0.2115,-0.2278524145264582
[16],relu,250,1.0,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],relu,250,1.0,512,0.805,0.195,0.195,-0.13206250984708912
[16],relu,250,0.1,16,0.8096666666666666,0.19033333333333333,0.19033333333333333,-0.10497041559433828
[16],relu,250,0.1,32,0.8155,0.1845,0.1845,-0.07110529777839969
[16],relu,250,0.1,64,0.8161666666666667,0.18383333333333332,0.18383333333333332,-0.06723499859943538
[16],relu,250,0.1,128,0.814,0.186,0.186,-0.07981347093106961
[16],relu,250,0.1,256,0.8128333333333333,0.18716666666666668,0.18716666666666668,-0.08658649449425737
[16],relu,250,0.1,512,0.8158333333333333,0.18416666666666667,0.18416666666666667,-0.06917014818891754
[16],relu,250,0.01,16,0.8173333333333334,0.18266666666666667,0.18266666666666667,-0.06046197503624762
[16],relu,250,0.01,32,0.8163333333333334,0.18366666666666667,0.18366666666666667,-0.0662674238046943
[16],relu,250,0.01,64,0.8145,0.1855,0.1855,-0.07691074654684638
[16],relu,250,0.01,128,0.8166666666666667,0.18333333333333332,0.18333333333333332,-0.06433227421521215
[16],relu,250,0.01,256,0.8178333333333333,0.18216666666666667,0.18216666666666667,-0.057559250652024385
[16],relu,250,0.01,512,0.8171666666666667,0.18283333333333332,0.18283333333333332,-0.061429549830988694
[16],relu,250,0.001,16,0.8048333333333333,0.19516666666666665,0.19516666666666665,-0.1330300846418302
[16],relu,250,0.001,32,0.8045,0.1955,0.1955,-0.13496523423131257
[16],relu,250,0.001,64,0.8073333333333333,0.19266666666666668,0.19266666666666668,-0.11851646272071381
[16],relu,250,0.001,128,0.811,0.189,0.189,-0.09722981723640944
[16],relu,250,0.001,256,0.8041666666666667,0.19583333333333333,0.19583333333333333,-0.13690038382079472
[16],relu,250,0.001,512,0.8113333333333334,0.18866666666666668,0.18866666666666668,-0.09529466764692729
[16],relu,250,0.0001,16,0.7631666666666667,0.23683333333333334,0.23683333333333334,-0.37492378332710574
[16],relu,250,0.0001,32,0.7928333333333333,0.20716666666666667,0.20716666666666667,-0.20269546986318954
[16],relu,250,0.0001,64,0.5811666666666667,0.41883333333333334,0.41883333333333334,-1.4315154591843888
[16],relu,250,0.0001,128,0.49566666666666664,0.5043333333333333,0.5043333333333333,-1.9278813288865742
[16],relu,250,0.0001,256,0.7843333333333333,0.21566666666666667,0.21566666666666667,-0.2520417843949858
[16],relu,250,0.0001,512,0.7975,0.2025,0.2025,-0.1756033756104387
[16],sigmoid,1,10.0,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,10.0,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,10.0,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,10.0,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,10.0,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,10.0,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,1.0,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,1.0,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,1.0,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,1.0,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,1.0,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,1.0,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,0.1,16,0.7791666666666667,0.22083333333333333,0.22083333333333333,-0.2820366030319599
[16],sigmoid,1,0.1,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,0.1,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,0.1,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,0.1,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,0.1,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,0.01,16,0.7786666666666666,0.22133333333333333,0.22133333333333333,-0.28493932741618333
[16],sigmoid,1,0.01,32,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
[16],sigmoid,1,0.01,64,0.5976666666666667,0.4023333333333333,0.4023333333333333,-1.3357255545050197
[16],sigmoid,1,0.01,128,0.4051666666666667,0.5948333333333333,0.5948333333333333,-2.4532744424309927
[16],sigmoid,1,0.01,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,0.01,512,0.7786666666666666,0.22133333333333333,0.22133333333333333,-0.28493932741618333
[16],sigmoid,1,0.001,16,0.7263333333333334,0.27366666666666667,0.27366666666666667,-0.5887578129648892
[16],sigmoid,1,0.001,32,0.771,0.229,0.229,-0.329447767974274
[16],sigmoid,1,0.001,64,0.7305,0.2695,0.2695,-0.5645684430963618
[16],sigmoid,1,0.001,128,0.7721666666666667,0.22783333333333333,0.22783333333333333,-0.32267474441108623
[16],sigmoid,1,0.001,256,0.778,0.222,0.222,-0.28880962659514764
[16],sigmoid,1,0.001,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,1,0.0001,16,0.5021666666666667,0.49783333333333335,0.49783333333333335,-1.890145911891671
[16],sigmoid,1,0.0001,32,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
[16],sigmoid,1,0.0001,64,0.7508333333333334,0.24916666666666668,0.24916666666666668,-0.44652431813794724
[16],sigmoid,1,0.0001,128,0.22233333333333333,0.7776666666666666,0.7776666666666666,-3.514703992261981
[16],sigmoid,1,0.0001,256,0.315,0.685,0.685,-2.9767324063859286
[16],sigmoid,1,0.0001,512,0.3446666666666667,0.6553333333333333,0.6553333333333333,-2.8045040929220124
[16],sigmoid,10,10.0,16,0.7786666666666666,0.22133333333333333,0.22133333333333333,-0.28493932741618333
[16],sigmoid,10,10.0,32,0.7778333333333334,0.22216666666666668,0.22216666666666668,-0.2897772013898887
[16],sigmoid,10,10.0,64,0.6471666666666667,0.35283333333333333,0.35283333333333333,-1.0483558404669124
[16],sigmoid,10,10.0,128,0.44133333333333336,0.5586666666666666,0.5586666666666666,-2.2433107119721734
[16],sigmoid,10,10.0,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,10,10.0,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,10,1.0,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,10,1.0,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,10,1.0,64,0.7786666666666666,0.22133333333333333,0.22133333333333333,-0.28493932741618333
[16],sigmoid,10,1.0,128,0.7851666666666667,0.21483333333333332,0.21483333333333332,-0.2472039104212802
[16],sigmoid,10,1.0,256,0.7858333333333334,0.21416666666666667,0.21416666666666667,-0.2433336112423159
[16],sigmoid,10,1.0,512,0.7761666666666667,0.22383333333333333,0.22383333333333333,-0.2994529493372997
[16],sigmoid,10,0.1,16,0.761,0.239,0.239,-0.38750225565873997
[16],sigmoid,10,0.1,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,10,0.1,64,0.7708333333333334,0.22916666666666666,0.22916666666666666,-0.3304153427690151
[16],sigmoid,10,0.1,128,0.7326666666666667,0.2673333333333333,0.2673333333333333,-0.5519899707647273
[16],sigmoid,10,0.1,256,0.7798333333333334,0.22016666666666668,0.22016666666666668,-0.27816630385299557
[16],sigmoid,10,0.1,512,0.7625,0.2375,0.2375,-0.37879408250607005
[16],sigmoid,10,0.01,16,0.7811666666666667,0.21883333333333332,0.21883333333333332,-0.2704257054950667
[16],sigmoid,10,0.01,32,0.7795,0.2205,0.2205,-0.2801014534424777
[16],sigmoid,10,0.01,64,0.7806666666666666,0.21933333333333332,0.21933333333333332,-0.27332842987928996
[16],sigmoid,10,0.01,128,0.7805,0.2195,0.2195,-0.27429600467403104
[16],sigmoid,10,0.01,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,10,0.01,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,10,0.001,16,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
[16],sigmoid,10,0.001,32,0.5436666666666666,0.4563333333333333,0.4563333333333333,-1.6492197880011368
[16],sigmoid,10,0.001,64,0.25483333333333336,0.7451666666666666,0.7451666666666666,-3.326026907287466
[16],sigmoid,10,0.001,128,0.7768333333333334,0.22316666666666668,0.22316666666666668,-0.2955826501583354
[16],sigmoid,10,0.001,256,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
[16],sigmoid,10,0.001,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,10,0.0001,16,0.7745,0.2255,0.2255,-0.3091286972847107
[16],sigmoid,10,0.0001,32,0.22133333333333333,0.7786666666666666,0.7786666666666666,-3.520509441030428
[16],sigmoid,10,0.0001,64,0.223,0.777,0.777,-3.5108336930830166
[16],sigmoid,10,0.0001,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,10,0.0001,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,10,0.0001,512,0.775,0.225,0.225,-0.3062259729004875
[16],sigmoid,25,10.0,16,0.778,0.222,0.222,-0.28880962659514764
[16],sigmoid,25,10.0,32,0.7781666666666667,0.22183333333333333,0.22183333333333333,-0.28784205180040656
[16],sigmoid,25,10.0,64,0.7886666666666666,0.21133333333333335,0.21133333333333335,-0.22688483973171714
[16],sigmoid,25,10.0,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,25,10.0,256,0.7768333333333334,0.22316666666666668,0.22316666666666668,-0.2955826501583354
[16],sigmoid,25,10.0,512,0.5421666666666667,0.4578333333333333,0.4578333333333333,-1.6579279611538067
[16],sigmoid,25,1.0,16,0.756,0.244,0.244,-0.4165294995009732
[16],sigmoid,25,1.0,32,0.7481666666666666,0.25183333333333335,0.25183333333333335,-0.4620055148538049
[16],sigmoid,25,1.0,64,0.7666666666666667,0.23333333333333334,0.23333333333333334,-0.3546047126375427
[16],sigmoid,25,1.0,128,0.7221666666666666,0.2778333333333333,0.2778333333333333,-0.6129471828334168
[16],sigmoid,25,1.0,256,0.6686666666666666,0.3313333333333333,0.3313333333333333,-0.9235386919453106
[16],sigmoid,25,1.0,512,0.7746666666666666,0.22533333333333333,0.22533333333333333,-0.30816112248996963
[16],sigmoid,25,0.1,16,0.7958333333333333,0.20416666666666666,0.20416666666666666,-0.1852791235578497
[16],sigmoid,25,0.1,32,0.8018333333333333,0.19816666666666666,0.19816666666666666,-0.15044643094717003
[16],sigmoid,25,0.1,64,0.8023333333333333,0.19766666666666666,0.19766666666666666,-0.1475437065629468
[16],sigmoid,25,0.1,128,0.7991666666666667,0.20083333333333334,0.20083333333333334,-0.1659276276630277
[16],sigmoid,25,0.1,256,0.7971666666666667,0.20283333333333334,0.20283333333333334,-0.17753852519992086
[16],sigmoid,25,0.1,512,0.7993333333333333,0.20066666666666666,0.20066666666666666,-0.16496005286828663
[16],sigmoid,25,0.01,16,0.7956666666666666,0.20433333333333334,0.20433333333333334,-0.18624669835259078
[16],sigmoid,25,0.01,32,0.788,0.212,0.212,-0.23075513891068145
[16],sigmoid,25,0.01,64,0.7915,0.2085,0.2085,-0.21043606822111838
[16],sigmoid,25,0.01,128,0.8001666666666667,0.19983333333333334,0.19983333333333334,-0.16012217889458102
[16],sigmoid,25,0.01,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,25,0.01,512,0.7993333333333333,0.20066666666666666,0.20066666666666666,-0.16496005286828663
[16],sigmoid,25,0.001,16,0.785,0.215,0.215,-0.24817148521602128
[16],sigmoid,25,0.001,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,25,0.001,64,0.7765,0.2235,0.2235,-0.29751779974781756
[16],sigmoid,25,0.001,128,0.774,0.226,0.226,-0.31203142166893416
[16],sigmoid,25,0.001,256,0.7061666666666667,0.29383333333333334,0.29383333333333334,-0.7058343631285626
[16],sigmoid,25,0.001,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,25,0.0001,16,0.22233333333333333,0.7776666666666666,0.7776666666666666,-3.514703992261981
[16],sigmoid,25,0.0001,32,0.772,0.228,0.228,-0.3236423192058273
[16],sigmoid,25,0.0001,64,0.7786666666666666,0.22133333333333333,0.22133333333333333,-0.28493932741618333
[16],sigmoid,25,0.0001,128,0.7633333333333333,0.23666666666666666,0.23666666666666666,-0.37395620853236466
[16],sigmoid,25,0.0001,256,0.7786666666666666,0.22133333333333333,0.22133333333333333,-0.28493932741618333
[16],sigmoid,25,0.0001,512,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
[16],sigmoid,50,10.0,16,0.753,0.247,0.247,-0.433945845806313
[16],sigmoid,50,10.0,32,0.6111666666666666,0.3888333333333333,0.3888333333333333,-1.2573519961309905
[16],sigmoid,50,10.0,64,0.7796666666666666,0.22033333333333333,0.22033333333333333,-0.27913387864773664
[16],sigmoid,50,10.0,128,0.7446666666666667,0.25533333333333336,0.25533333333333336,-0.482324585543368
[16],sigmoid,50,10.0,256,0.7005,0.2995,0.2995,-0.7387319061497599
[16],sigmoid,50,10.0,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,50,1.0,16,0.7956666666666666,0.20433333333333334,0.20433333333333334,-0.18624669835259078
[16],sigmoid,50,1.0,32,0.7953333333333333,0.20466666666666666,0.20466666666666666,-0.18818184794207315
[16],sigmoid,50,1.0,64,0.7863333333333333,0.21366666666666667,0.21366666666666667,-0.24043088685809266
[16],sigmoid,50,1.0,128,0.8015,0.1985,0.1985,-0.1523815805366524
[16],sigmoid,50,1.0,256,0.7963333333333333,0.20366666666666666,0.20366666666666666,-0.18237639917362647
[16],sigmoid,50,1.0,512,0.7901666666666667,0.20983333333333334,0.20983333333333334,-0.21817666657904722
[16],sigmoid,50,0.1,16,0.8028333333333333,0.19716666666666666,0.19716666666666666,-0.14464098217872356
[16],sigmoid,50,0.1,32,0.8146666666666667,0.18533333333333332,0.18533333333333332,-0.0759431717521053
[16],sigmoid,50,0.1,64,0.8135,0.1865,0.1865,-0.08271619531529306
[16],sigmoid,50,0.1,128,0.8145,0.1855,0.1855,-0.07691074654684638
[16],sigmoid,50,0.1,256,0.8038333333333333,0.19616666666666666,0.19616666666666666,-0.13883553341027688
[16],sigmoid,50,0.1,512,0.815,0.185,0.185,-0.07400802216262314
[16],sigmoid,50,0.01,16,0.7956666666666666,0.20433333333333334,0.20433333333333334,-0.18624669835259078
[16],sigmoid,50,0.01,32,0.7985,0.2015,0.2015,-0.16979792684199224
[16],sigmoid,50,0.01,64,0.7983333333333333,0.20166666666666666,0.20166666666666666,-0.17076550163673332
[16],sigmoid,50,0.01,128,0.794,0.206,0.206,-0.195922446300002
[16],sigmoid,50,0.01,256,0.8005,0.1995,0.1995,-0.15818702930509887
[16],sigmoid,50,0.01,512,0.7918333333333333,0.20816666666666667,0.20816666666666667,-0.20850091863163622
[16],sigmoid,50,0.001,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,50,0.001,32,0.7073333333333334,0.2926666666666667,0.2926666666666667,-0.6990613395653749
[16],sigmoid,50,0.001,64,0.7808333333333334,0.21916666666666668,0.21916666666666668,-0.2723608550845489
[16],sigmoid,50,0.001,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,50,0.001,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,50,0.001,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,50,0.0001,16,0.7471666666666666,0.25283333333333335,0.25283333333333335,-0.4678109636222516
[16],sigmoid,50,0.0001,32,0.22133333333333333,0.7786666666666666,0.7786666666666666,-3.520509441030428
[16],sigmoid,50,0.0001,64,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
[16],sigmoid,50,0.0001,128,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
[16],sigmoid,50,0.0001,256,0.225,0.775,0.775,-3.4992227955461237
[16],sigmoid,50,0.0001,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,100,10.0,16,0.797,0.203,0.203,-0.17850609999466216
[16],sigmoid,100,10.0,32,0.593,0.407,0.407,-1.3628176487577708
[16],sigmoid,100,10.0,64,0.795,0.205,0.205,-0.1901169975315553
[16],sigmoid,100,10.0,128,0.772,0.228,0.228,-0.3236423192058273
[16],sigmoid,100,10.0,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,100,10.0,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,100,1.0,16,0.8045,0.1955,0.1955,-0.13496523423131257
[16],sigmoid,100,1.0,32,0.806,0.194,0.194,-0.12625706107864265
[16],sigmoid,100,1.0,64,0.7935,0.2065,0.2065,-0.19882517068422523
[16],sigmoid,100,1.0,128,0.7851666666666667,0.21483333333333332,0.21483333333333332,-0.2472039104212802
[16],sigmoid,100,1.0,256,0.8055,0.1945,0.1945,-0.12915978546286588
[16],sigmoid,100,1.0,512,0.7983333333333333,0.20166666666666666,0.20166666666666666,-0.17076550163673332
[16],sigmoid,100,0.1,16,0.8166666666666667,0.18333333333333332,0.18333333333333332,-0.06433227421521215
[16],sigmoid,100,0.1,32,0.8166666666666667,0.18333333333333332,0.18333333333333332,-0.06433227421521215
[16],sigmoid,100,0.1,64,0.8163333333333334,0.18366666666666667,0.18366666666666667,-0.0662674238046943
[16],sigmoid,100,0.1,128,0.8176666666666667,0.18233333333333332,0.18233333333333332,-0.05852682544676546
[16],sigmoid,100,0.1,256,0.8175,0.1825,0.1825,-0.05949440024150654
[16],sigmoid,100,0.1,512,0.8145,0.1855,0.1855,-0.07691074654684638
[16],sigmoid,100,0.01,16,0.8021666666666667,0.19783333333333333,0.19783333333333333,-0.14851128135768787
[16],sigmoid,100,0.01,32,0.8085,0.1915,0.1915,-0.11174343915752605
[16],sigmoid,100,0.01,64,0.8043333333333333,0.19566666666666666,0.19566666666666666,-0.13593280902605365
[16],sigmoid,100,0.01,128,0.8045,0.1955,0.1955,-0.13496523423131257
[16],sigmoid,100,0.01,256,0.8091666666666667,0.19083333333333333,0.19083333333333333,-0.10787313997856152
[16],sigmoid,100,0.01,512,0.8038333333333333,0.19616666666666666,0.19616666666666666,-0.13883553341027688
[16],sigmoid,100,0.001,16,0.7835,0.2165,0.2165,-0.2568796583686912
[16],sigmoid,100,0.001,32,0.779,0.221,0.221,-0.28300417782670095
[16],sigmoid,100,0.001,64,0.78,0.22,0.22,-0.2771987290582545
[16],sigmoid,100,0.001,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,100,0.001,256,0.7975,0.2025,0.2025,-0.1756033756104387
[16],sigmoid,100,0.001,512,0.7801666666666667,0.21983333333333333,0.21983333333333333,-0.2762311542635134
[16],sigmoid,100,0.0001,16,0.22266666666666668,0.7773333333333333,0.7773333333333333,-3.5127688426724992
[16],sigmoid,100,0.0001,32,0.7903333333333333,0.20966666666666667,0.20966666666666667,-0.21720909178430614
[16],sigmoid,100,0.0001,64,0.431,0.569,0.569,-2.303300349246122
[16],sigmoid,100,0.0001,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,100,0.0001,256,0.7965,0.2035,0.2035,-0.1814088243788854
[16],sigmoid,100,0.0001,512,0.7463333333333333,0.25366666666666665,0.25366666666666665,-0.472648837595957
[16],sigmoid,250,10.0,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[16],sigmoid,250,10.0,32,0.8088333333333333,0.19116666666666668,0.19116666666666668,-0.1098082895680439
[16],sigmoid,250,10.0,64,0.787,0.213,0.213,-0.23656058767912813
[16],sigmoid,250,10.0,128,0.7876666666666666,0.21233333333333335,0.21233333333333335,-0.23269028850016382
[16],sigmoid,250,10.0,256,0.4638333333333333,0.5361666666666667,0.5361666666666667,-2.1126881146821246
[16],sigmoid,250,10.0,512,0.779,0.221,0.221,-0.28300417782670095
[16],sigmoid,250,1.0,16,0.8061666666666667,0.19383333333333333,0.19383333333333333,-0.12528948628390135
[16],sigmoid,250,1.0,32,0.8031666666666667,0.19683333333333333,0.19683333333333333,-0.1427058325892412
[16],sigmoid,250,1.0,64,0.8045,0.1955,0.1955,-0.13496523423131257
[16],sigmoid,250,1.0,128,0.8003333333333333,0.19966666666666666,0.19966666666666666,-0.15915460409983995
[16],sigmoid,250,1.0,256,0.8038333333333333,0.19616666666666666,0.19616666666666666,-0.13883553341027688
[16],sigmoid,250,1.0,512,0.8023333333333333,0.19766666666666666,0.19766666666666666,-0.1475437065629468
[16],sigmoid,250,0.1,16,0.8178333333333333,0.18216666666666667,0.18216666666666667,-0.057559250652024385
[16],sigmoid,250,0.1,32,0.8151666666666667,0.18483333333333332,0.18483333333333332,-0.07304044736788184
[16],sigmoid,250,0.1,64,0.8171666666666667,0.18283333333333332,0.18283333333333332,-0.061429549830988694
[16],sigmoid,250,0.1,128,0.8145,0.1855,0.1855,-0.07691074654684638
[16],sigmoid,250,0.1,256,0.815,0.185,0.185,-0.07400802216262314
