hidden_layers,activation,epochs,learning_rate,batch_size,accuracy,mae,mse,r2
[4],relu,10,0.1,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,10,0.1,32,0.808,0.192,0.192,-0.11464616354174928
[4],relu,10,0.1,64,0.7998333333333333,0.20016666666666666,0.20016666666666666,-0.1620573284840634
[4],relu,10,0.1,128,0.8001666666666667,0.19983333333333334,0.19983333333333334,-0.16012217889458102
[4],relu,10,0.1,256,0.8041666666666667,0.19583333333333333,0.19583333333333333,-0.13690038382079472
[4],relu,10,0.1,512,0.8036666666666666,0.19633333333333333,0.19633333333333333,-0.13980310820501796
[4],relu,10,0.01,16,0.7833333333333333,0.21666666666666667,0.21666666666666667,-0.2578472331634325
[4],relu,10,0.01,32,0.6456666666666667,0.35433333333333333,0.35433333333333333,-1.0570640136195824
[4],relu,10,0.01,64,0.7955,0.2045,0.2045,-0.18721427314733208
[4],relu,10,0.01,128,0.7968333333333333,0.20316666666666666,0.20316666666666666,-0.17947367478940324
[4],relu,10,0.01,256,0.7803333333333333,0.21966666666666668,0.21966666666666668,-0.27526357946877233
[4],relu,10,0.01,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,10,0.001,16,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
[4],relu,10,0.001,32,0.708,0.292,0.292,-0.6951910403864106
[4],relu,10,0.001,64,0.777,0.223,0.223,-0.2946150753635943
[4],relu,10,0.001,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,10,0.001,256,0.747,0.253,0.253,-0.4687785384169927
[4],relu,10,0.001,512,0.5868333333333333,0.4131666666666667,0.4131666666666667,-1.3986179161631913
[4],relu,10,0.0001,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,10,0.0001,32,0.7575,0.2425,0.2425,-0.40782132634830326
[4],relu,10,0.0001,64,0.4021666666666667,0.5978333333333333,0.5978333333333333,-2.4706907887363325
[4],relu,10,0.0001,128,0.23933333333333334,0.7606666666666667,0.7606666666666667,-3.416011363198389
[4],relu,10,0.0001,256,0.556,0.444,0.444,-1.5776192531902953
[4],relu,10,0.0001,512,0.31516666666666665,0.6848333333333333,0.6848333333333333,-2.9757648315911873
[4],relu,25,10.0,16,0.785,0.215,0.215,-0.24817148521602128
[4],relu,25,10.0,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,25,10.0,64,0.21516666666666667,0.7848333333333334,0.7848333333333334,-3.5563097084358484
[4],relu,25,10.0,128,0.7745,0.2255,0.2255,-0.3091286972847107
[4],relu,25,10.0,256,0.7793333333333333,0.22066666666666668,0.22066666666666668,-0.2810690282372188
[4],relu,25,10.0,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,25,1.0,16,0.7735,0.2265,0.2265,-0.3149341460531574
[4],relu,25,1.0,32,0.7743333333333333,0.22566666666666665,0.22566666666666665,-0.310096272079452
[4],relu,25,1.0,64,0.7793333333333333,0.22066666666666668,0.22066666666666668,-0.2810690282372188
[4],relu,25,1.0,128,0.7831666666666667,0.21683333333333332,0.21683333333333332,-0.2588148079581736
[4],relu,25,1.0,256,0.7785,0.2215,0.2215,-0.2859069022109244
