hidden_layers,activation,epochs,lr,batch_size,mae,mse,r2
[4],sigmoid,25,0.0001,16,3327.5776354163877,131744708.74571674,-0.09176027774810791
[4],sigmoid,25,0.0001,32,3328.1308871307683,131748220.19727051,-0.0917893648147583
[4],sigmoid,25,0.0001,64,3327.5856917755873,131744564.0703868,-0.0917590856552124
[4],sigmoid,25,0.0001,128,3327.603181257794,131744748.90174875,-0.09176063537597656
[4],sigmoid,25,0.0001,256,3328.175155475854,131748555.35417436,-0.09179210662841797
[4],sigmoid,25,0.0001,512,3327.0735910542994,131741124.74294138,-0.09173047542572021
[4],sigmoid,50,0.1,16,3301.627114078379,131571601.28919478,-0.09032571315765381
[4],sigmoid,50,0.1,32,3300.914901659308,131567553.82344131,-0.09029233455657959
[4],sigmoid,50,0.1,64,3302.4380084463683,131576838.82726282,-0.09036922454833984
[4],sigmoid,50,0.1,128,3301.5837748468953,131571474.90256464,-0.0903247594833374
[4],sigmoid,50,0.1,256,3304.022381558817,131587870.35455075,-0.09046041965484619
[4],sigmoid,50,0.1,512,3301.7388292443243,131576204.66059096,-0.09036386013031006
[4],sigmoid,50,0.01,16,3326.155358729221,131734877.67845774,-0.09167873859405518
[4],sigmoid,50,0.01,32,3325.9177727554047,131732638.16890548,-0.09166014194488525
[4],sigmoid,50,0.01,64,3324.5984627950506,131723454.50844158,-0.0915839672088623
[4],sigmoid,50,0.01,128,3324.85395010786,131725162.53889509,-0.0915982723236084
[4],sigmoid,50,0.01,256,3325.837139333568,131731782.62811196,-0.09165310859680176
[4],sigmoid,50,0.01,512,3326.428108748947,131736764.9927305,-0.09169447422027588
[4],sigmoid,50,0.001,16,3326.9930695725247,131740562.75032641,-0.09172594547271729
[4],sigmoid,50,0.001,32,3327.300419564207,131742506.37876067,-0.09174203872680664
[4],sigmoid,50,0.001,64,3327.4816442969404,131743883.17216584,-0.09175348281860352
[4],sigmoid,50,0.001,128,3327.8938633892794,131746353.2893104,-0.0917738676071167
[4],sigmoid,50,0.001,256,3326.819637033058,131739614.3921838,-0.09171795845031738
[4],sigmoid,50,0.001,512,3327.6653545750773,131744986.34914446,-0.09176266193389893
[4],sigmoid,50,0.0001,16,3327.498865813713,131744090.33626485,-0.09175515174865723
[4],sigmoid,50,0.0001,32,3327.3240130839345,131742943.6937022,-0.09174549579620361
[4],sigmoid,50,0.0001,64,3327.2504311012112,131742333.34908792,-0.09174072742462158
[4],sigmoid,50,0.0001,128,3327.2386472238945,131742369.56006792,-0.09174084663391113
[4],sigmoid,50,0.0001,256,3327.6527456894482,131745050.35075639,-0.09176301956176758
[4],sigmoid,50,0.0001,512,3327.255645145792,131742716.42473693,-0.0917438268661499
[4],sigmoid,100,0.1,16,3272.5354884538906,131381135.66452166,-0.08874726295471191
[4],sigmoid,100,0.1,32,3273.5842838727567,131388025.25214884,-0.08880436420440674
[4],sigmoid,100,0.1,64,3273.1558431095427,131385214.81008498,-0.08878123760223389
[4],sigmoid,100,0.1,128,3273.8809646089735,131389967.77479655,-0.0888204574584961
[4],sigmoid,100,0.1,256,3273.138978632661,131385107.94463262,-0.08878016471862793
[4],sigmoid,100,0.1,512,3273.4561061101385,131387181.72068115,-0.08879733085632324
[4],sigmoid,100,0.01,16,3323.7858668563795,131717859.41350356,-0.0915377140045166
[4],sigmoid,100,0.01,32,3323.3286946391167,131714974.15947622,-0.09151387214660645
[4],sigmoid,100,0.01,64,3322.347570134917,131708142.90900403,-0.09145724773406982
[4],sigmoid,100,0.01,128,3323.393360977381,131715033.07922176,-0.0915142297744751
