hidden_layers,activation,epochs,lr,batch_size,mae,mse,r2
[16],relu,250,0.0001,512,3327.2215050235873,131741995.85896304,-0.09173786640167236
[16],tanh,1,0.1,16,3327.1751378241083,131740346.94708282,-0.09172415733337402
[16],tanh,1,0.1,32,3327.2591765617603,131740353.10114922,-0.09172415733337402
[16],tanh,1,0.1,64,3326.970160219669,131738431.45946378,-0.09170818328857422
[16],tanh,1,0.1,128,3327.076635925872,131739832.18235914,-0.09171974658966064
[16],tanh,1,0.1,256,3327.160607274924,131740148.71770066,-0.09172236919403076
[16],tanh,1,0.1,512,3327.2354920285316,131740552.7634387,-0.09172570705413818
[16],tanh,1,0.01,16,3327.282441694191,131742500.79464307,-0.09174203872680664
[16],tanh,1,0.01,32,3327.255226440235,131741669.94945984,-0.0917351245880127
[16],tanh,1,0.01,64,3327.324236676433,131742585.18684289,-0.0917426347732544
[16],tanh,1,0.01,128,3327.4558269642625,131743465.0143448,-0.09174990653991699
[16],tanh,1,0.01,256,3327.1966705967006,131741701.29461315,-0.0917353630065918
[16],tanh,1,0.01,512,3327.6245185653374,131744882.90106082,-0.09176182746887207
[16],tanh,1,0.001,16,3327.284848836809,131742741.5298956,-0.09174394607543945
[16],tanh,1,0.001,32,3327.3060655418317,131742569.2043661,-0.09174251556396484
[16],tanh,1,0.001,64,3327.4622322432783,131743899.19539167,-0.09175360202789307
[16],tanh,1,0.001,128,3327.649993995083,131745075.84185769,-0.09176325798034668
[16],tanh,1,0.001,256,3327.505278687751,131743809.40088202,-0.09175288677215576
[16],tanh,1,0.001,512,3327.6035431009614,131744786.67684244,-0.09176087379455566
[16],tanh,1,0.0001,16,3327.2492881524554,131742332.11652702,-0.09174060821533203
[16],tanh,1,0.0001,32,3327.629195676917,131744928.28896609,-0.09176218509674072
[16],tanh,1,0.0001,64,3327.5857324803856,131744908.95117344,-0.09176194667816162
[16],tanh,1,0.0001,128,3327.707259230373,131745613.13471119,-0.09176778793334961
[16],tanh,1,0.0001,256,3327.2563873528693,131742444.02064492,-0.09174156188964844
[16],tanh,1,0.0001,512,3327.5433961201065,131744518.18455927,-0.0917586088180542
[16],tanh,10,0.1,16,3316.928453176669,131667638.28366959,-0.09112167358398438
[16],tanh,10,0.1,32,3317.297452573954,131669960.40735635,-0.09114086627960205
[16],tanh,10,0.1,64,3318.347750620195,131675026.52275299,-0.09118270874023438
[16],tanh,10,0.1,128,3317.4958473869915,131672750.13103355,-0.0911639928817749
[16],tanh,10,0.1,256,3317.9164720370018,131674598.70244995,-0.0911792516708374
[16],tanh,10,0.1,512,3318.3179074271825,131676497.59694445,-0.09119486808776855
[16],tanh,10,0.01,16,3327.3246903862846,131740730.59792623,-0.09172725677490234
[16],tanh,10,0.01,32,3326.9348425627636,131738759.23837356,-0.09171092510223389
[16],tanh,10,0.01,64,3326.90351693743,131738288.35040626,-0.09170711040496826
[16],tanh,10,0.01,128,3326.9207706998,131737731.37654884,-0.09170246124267578
[16],tanh,10,0.01,256,3326.72795678756,131737129.51875676,-0.0916973352432251
[16],tanh,10,0.01,512,3327.2189519627486,131740271.75231868,-0.09172344207763672
[16],tanh,10,0.001,16,3327.24069716456,131742064.81306101,-0.09173834323883057
[16],tanh,10,0.001,32,3327.217477898506,131742324.4148942,-0.09174048900604248
[16],tanh,10,0.001,64,3327.6322829014666,131744730.60279343,-0.09176039695739746
[16],tanh,10,0.001,128,3327.4023645462084,131743109.08078627,-0.09174704551696777
[16],tanh,10,0.001,256,3327.6429026564547,131745238.6407768,-0.09176468849182129
[16],tanh,10,0.001,512,3327.5469015935946,131744088.66048275,-0.09175515174865723
[16],tanh,10,0.0001,16,3327.4724087321374,131744201.20042448,-0.09175598621368408
[16],tanh,10,0.0001,32,3327.4647903837854,131743745.51578641,-0.09175229072570801
[16],tanh,10,0.0001,64,3327.5606977294237,131744164.66377401,-0.09175586700439453
[16],tanh,10,0.0001,128,3327.7131274925746,131745355.49045178,-0.09176552295684814
[16],tanh,10,0.0001,256,3327.423604646221,131743380.170112,-0.09174919128417969
[16],tanh,10,0.0001,512,3327.5398345079266,131744336.68663862,-0.09175717830657959
[16],tanh,25,0.1,16,3283.635249525771,131453378.74855374,-0.08934593200683594
[16],tanh,25,0.1,32,3285.2677938423058,131463463.56883255,-0.08942949771881104
[16],tanh,25,0.1,64,3283.8085311974323,131454238.77279794,-0.08935296535491943
[16],tanh,25,0.1,128,3284.898622585705,131461531.93946943,-0.08941352367401123
[16],tanh,25,0.1,256,3285.0473090941705,131462401.920475,-0.08942067623138428
[16],tanh,25,0.1,512,3285.376826546715,131464362.02899018,-0.08943712711334229
[16],tanh,25,0.01,16,3325.963311358982,131729359.63476874,-0.09163308143615723
[16],tanh,25,0.01,32,3326.378341565752,131732026.5718034,-0.09165513515472412
[16],tanh,25,0.01,64,3326.2161989787733,131730376.59632611,-0.09164154529571533
[16],tanh,25,0.01,128,3326.4222213147077,131732362.97842073,-0.09165787696838379
[16],tanh,25,0.01,256,3325.6274774242847,131726317.44740126,-0.09160780906677246
[16],tanh,25,0.01,512,3326.3042004200865,131731893.67167507,-0.09165394306182861
[16],tanh,25,0.001,16,3327.227994473578,131741794.93977286,-0.0917360782623291
[16],tanh,25,0.001,32,3327.266624414209,131741768.69402623,-0.09173583984375
[16],tanh,25,0.001,64,3327.4900398127843,131743677.14837515,-0.0917518138885498
[16],tanh,25,0.001,128,3327.368672008548,131742520.23675998,-0.09174203872680664
[16],tanh,25,0.001,256,3327.4206550881972,131743248.46860667,-0.09174823760986328
[16],tanh,25,0.001,512,3327.5490347945192,131743722.3651578,-0.09175217151641846
[16],tanh,25,0.0001,16,3327.1664282185184,131741632.680658,-0.09173476696014404
[16],tanh,25,0.0001,32,3327.6543507419196,131745125.8227633,-0.09176361560821533
[16],tanh,25,0.0001,64,3327.3027241718646,131742569.05110335,-0.09174251556396484
[16],tanh,25,0.0001,128,3327.5710031424132,131744206.63456205,-0.09175598621368408
[16],tanh,25,0.0001,256,3327.7130783927373,131745894.19869517,-0.09177017211914062
[16],tanh,25,0.0001,512,3327.373432315234,131743325.8774802,-0.09174871444702148
[16],tanh,50,0.1,16,3237.2956661167113,131151210.35743043,-0.08684194087982178
[16],tanh,50,0.1,32,3237.264056490204,131151016.92612855,-0.08684027194976807
[16],tanh,50,0.1,64,3235.8170240173454,131141607.15470959,-0.08676230907440186
[16],tanh,50,0.1,128,3237.693600150763,131153769.69306178,-0.08686316013336182
[16],tanh,50,0.1,256,3237.5451052720196,131152822.51592839,-0.08685529232025146
[16],tanh,50,0.1,512,3235.68552754797,131140757.20158106,-0.08675527572631836
[16],tanh,50,0.01,16,3322.248436167898,131702492.69388035,-0.09141039848327637
[16],tanh,50,0.01,32,3322.0097696367407,131700342.10054527,-0.0913926362991333
[16],tanh,50,0.01,64,3322.0207742690395,131701372.26498967,-0.09140121936798096
[16],tanh,50,0.01,128,3322.728155439281,131705664.9848078,-0.09143662452697754
[16],tanh,50,0.01,256,3322.754120142025,131706380.48879313,-0.09144270420074463
[16],tanh,50,0.01,512,3322.842318993553,131706765.75898875,-0.09144580364227295
[16],tanh,50,0.001,16,3327.3757604868474,131742114.62425548,-0.09173870086669922
[16],tanh,50,0.001,32,3327.2721488318734,131741256.06530803,-0.09173154830932617
[16],tanh,50,0.001,64,3327.207844692636,131741382.68950383,-0.09173274040222168
[16],tanh,50,0.001,128,3327.3185283190087,131741985.54241812,-0.09173762798309326
[16],tanh,50,0.001,256,3327.391651995509,131742680.1764028,-0.09174346923828125
[16],tanh,50,0.001,512,3327.4352447817164,131742971.2788181,-0.09174585342407227
[16],tanh,50,0.0001,16,3327.359067735773,131743712.86229032,-0.09175193309783936
[16],tanh,50,0.0001,32,3327.357933112146,131742846.7437301,-0.09174489974975586
[16],tanh,50,0.0001,64,3327.2534994441903,131742086.9913679,-0.09173858165740967
[16],tanh,50,0.0001,128,3327.232371597783,131742162.86965443,-0.09173905849456787
[16],tanh,50,0.0001,256,3327.4708395262737,131743040.69886719,-0.09174644947052002
[16],tanh,50,0.0001,512,3327.538315807026,131744427.20379633,-0.09175777435302734
[16],tanh,100,0.1,16,3145.1692772166607,130560734.470656,-0.08194875717163086
[16],tanh,100,0.1,32,3145.560778851316,130563211.35429646,-0.0819692611694336
[16],tanh,100,0.1,64,3144.599060410764,130557129.18492594,-0.08191883563995361
[16],tanh,100,0.1,128,3144.6682206095056,130557577.06510685,-0.08192265033721924
[16],tanh,100,0.1,256,3144.817354144297,130558508.61125942,-0.08193027973175049
[16],tanh,100,0.1,512,3145.652934226071,130563800.66621391,-0.08197402954101562
[16],tanh,100,0.01,16,3309.6577266228123,131620816.50657988,-0.09073352813720703
[16],tanh,100,0.01,32,3309.697900620185,131621439.29030067,-0.09073877334594727
[16],tanh,100,0.01,64,3309.1768840951445,131617499.81238678,-0.0907059907913208
[16],tanh,100,0.01,128,3309.05780950725,131616962.59672551,-0.09070169925689697
[16],tanh,100,0.01,256,3309.199482547694,131618433.35839866,-0.0907137393951416
[16],tanh,100,0.01,512,3309.0576169036467,131616937.76731732,-0.09070146083831787
[16],tanh,100,0.001,16,3326.6896576976956,131736544.02678289,-0.09169256687164307
[16],tanh,100,0.001,32,3327.176042571934,131739804.8999142,-0.09171950817108154
[16],tanh,100,0.001,64,3326.761864991923,131737026.27351855,-0.09169650077819824
[16],tanh,100,0.001,128,3327.0351046985493,131738488.0357321,-0.09170866012573242
[16],tanh,100,0.001,256,3327.0551665993394,131739282.59792863,-0.09171533584594727
[16],tanh,100,0.001,512,3326.908731496677,131737841.57300337,-0.09170341491699219
[16],tanh,100,0.0001,16,3327.1198536023558,131741853.69229355,-0.09173667430877686
[16],tanh,100,0.0001,32,3327.360295007432,131743135.23468207,-0.09174728393554688
[16],tanh,100,0.0001,64,3327.499514482941,131743653.66931619,-0.09175145626068115
[16],tanh,100,0.0001,128,3327.305948475431,131743163.81518266,-0.09174752235412598
[16],tanh,100,0.0001,256,3327.3591381337624,131742970.02114132,-0.09174585342407227
[16],tanh,100,0.0001,512,3327.3587023500127,131742512.9458659,-0.09174191951751709
[16],tanh,250,0.1,16,2895.607036477516,129031070.00012463,-0.06927251815795898
[16],tanh,250,0.1,32,2894.727471399614,129025806.26504397,-0.06922876834869385
[16],tanh,250,0.1,64,2895.9662036893346,129033218.85601349,-0.0692901611328125
[16],tanh,250,0.1,128,2894.7781809685225,129026111.74463488,-0.06923151016235352
[16],tanh,250,0.1,256,2894.2576139298285,129022995.99640495,-0.069205641746521
[16],tanh,250,0.1,512,2894.1714595506496,129022482.83969599,-0.06920146942138672
[16],tanh,250,0.01,16,3273.72267489482,131387867.02476972,-0.08880305290222168
[16],tanh,250,0.01,32,3274.0883569235098,131390305.52858992,-0.08882331848144531
[16],tanh,250,0.01,64,3274.041232451257,131389991.58570272,-0.08882057666778564
[16],tanh,250,0.01,128,3274.370604574372,131392103.04878192,-0.08883821964263916
[16],tanh,250,0.01,256,3273.8102048849123,131388446.28284983,-0.08880805969238281
[16],tanh,250,0.01,512,3273.9523475474734,131389383.55956103,-0.08881568908691406
[16],tanh,250,0.001,16,3325.6683245372315,131726646.11009622,-0.09161055088043213
[16],tanh,250,0.001,32,3324.977292465632,131721513.12019503,-0.0915679931640625
[16],tanh,250,0.001,64,3325.6758034588215,131727091.59621769,-0.09161436557769775
[16],tanh,250,0.001,128,3325.1579365062826,131723384.52529351,-0.09158360958099365
[16],tanh,250,0.001,256,3325.516195290326,131725209.64044389,-0.09159862995147705
[16],tanh,250,0.001,512,3325.2335223131945,131723241.46083915,-0.0915822982788086
[16],tanh,250,0.0001,16,3327.3503115727744,131742364.98628452,-0.09174096584320068
[16],tanh,250,0.0001,32,3327.398491798003,131743062.74483424,-0.09174656867980957
[16],tanh,250,0.0001,64,3327.2755035737937,131741813.00233863,-0.0917363166809082
[16],tanh,250,0.0001,128,3327.2644619334587,131741488.43505128,-0.09173357486724854
[16],tanh,250,0.0001,256,3327.1930443286005,131741297.5039264,-0.09173190593719482
[16],tanh,250,0.0001,512,3327.1227166149133,131740667.81511687,-0.09172677993774414
[32],linear,1,0.1,16,3326.6865973678473,131732325.44519037,-0.09165763854980469
[32],linear,1,0.1,32,3326.724347915659,131733280.61430304,-0.09166550636291504
[32],linear,1,0.1,64,3326.7839279239342,131734666.90620054,-0.09167695045471191
[32],linear,1,0.1,128,3326.460469170314,131731126.12696338,-0.09164762496948242
[32],linear,1,0.1,256,3326.7835464681143,131734827.17079747,-0.09167838096618652
[32],linear,1,0.1,512,3326.686707805973,131732255.39628737,-0.09165704250335693
[32],linear,1,0.01,16,3327.3910377202287,131742883.03954677,-0.09174513816833496
[32],linear,1,0.01,32,3327.261718244333,131741351.47035564,-0.09173250198364258
[32],linear,1,0.01,64,3327.1737870356114,131741841.43547103,-0.0917365550994873
[32],linear,1,0.01,128,3327.2390951007783,131742374.57158144,-0.09174084663391113
[32],linear,1,0.01,256,3327.5830688650003,131743845.15956673,-0.09175312519073486
[32],linear,1,0.01,512,3327.0174255921097,131740725.3084211,-0.09172713756561279
[32],linear,1,0.001,16,3327.302208698128,131742838.33778635,-0.09174478054046631
[32],linear,1,0.001,32,3327.5395469739556,131744257.43503825,-0.09175646305084229
[32],linear,1,0.001,64,3327.2219732447743,131741771.53288582,-0.0917360782623291
[32],linear,1,0.001,128,3327.301721539924,131743539.15688254,-0.09175050258636475
[32],linear,1,0.001,256,3327.5698835904395,131745102.96976279,-0.09176361560821533
[32],linear,1,0.001,512,3327.402976549098,131743690.87944272,-0.09175193309783936
[32],linear,1,0.0001,16,3327.213081927496,131741868.26661597,-0.09173667430877686
[32],linear,1,0.0001,32,3327.373874674905,131743201.29535149,-0.09174776077270508
[32],linear,1,0.0001,64,3327.2644117307855,131742425.26225254,-0.09174132347106934
[32],linear,1,0.0001,128,3327.4920735937203,131743503.78987026,-0.09175026416778564
[32],linear,1,0.0001,256,3327.33858685367,131743063.83261913,-0.09174656867980957
[32],linear,1,0.0001,512,3327.581744248223,131745607.01323819,-0.09176766872406006
[32],linear,10,0.1,16,3305.3023462838355,131240484.39368932,-0.08758175373077393
[32],linear,10,0.1,32,3304.2368351890877,131190233.34713899,-0.0871652364730835
[32],linear,10,0.1,64,3304.402783336691,131194414.7821986,-0.08720004558563232
[32],linear,10,0.1,128,3303.216806849964,131160424.731151,-0.08691823482513428
[32],linear,10,0.1,256,3301.1769472346255,131124539.19862752,-0.08662092685699463
[32],linear,10,0.1,512,3303.641453654871,131187226.15308568,-0.08714044094085693
[32],linear,10,0.01,16,3327.00090425398,131732589.41541573,-0.09165990352630615
[32],linear,10,0.01,32,3326.568845102324,131728933.02332094,-0.0916295051574707
[32],linear,10,0.01,64,3326.520602006626,131729988.55800657,-0.09163820743560791
[32],linear,10,0.01,128,3326.912158743495,131733957.80891223,-0.09167122840881348
[32],linear,10,0.01,256,3326.3554607439064,131727996.05863898,-0.09162163734436035
[32],linear,10,0.01,512,3326.7172155778567,131731418.05941959,-0.09165012836456299
[32],linear,10,0.001,16,3327.3073894655904,131742394.15781838,-0.09174108505249023
[32],linear,10,0.001,32,3327.431852044358,131742177.05109777,-0.09173917770385742
[32],linear,10,0.001,64,3327.411882716923,131743270.35093926,-0.09174835681915283
[32],linear,10,0.001,128,3327.2114722240153,131742170.32049997,-0.09173929691314697
[32],linear,10,0.001,256,3327.240873133974,131742431.85686736,-0.09174132347106934
[32],linear,10,0.001,512,3327.1548855280616,131741547.18771899,-0.09173417091369629
[32],linear,10,0.0001,16,3327.515667190253,131745083.43627124,-0.09176337718963623
[32],linear,10,0.0001,32,3327.6442429806534,131744788.8765319,-0.09176087379455566
[32],linear,10,0.0001,64,3327.4868869146776,131743282.62635829,-0.09174835681915283
[32],linear,10,0.0001,128,3327.454520412842,131743814.99214023,-0.09175288677215576
[32],linear,10,0.0001,256,3327.5672761201736,131744658.61936618,-0.09175980091094971
[32],linear,10,0.0001,512,3327.544820879269,131743858.68501067,-0.09175324440002441
[32],linear,25,0.1,16,3270.782766229614,128329812.78942321,-0.0634613037109375
[32],linear,25,0.1,32,3272.8748389090397,128362012.01308455,-0.06372809410095215
[32],linear,25,0.1,64,3271.108416509607,128179516.87963174,-0.062215566635131836
[32],linear,25,0.1,128,3271.2780797140404,128184269.98856188,-0.062255144119262695
[32],linear,25,0.1,256,3270.8770992797986,128410846.13810612,-0.06413257122039795
[32],linear,25,0.1,512,3272.746210583313,128375218.97787504,-0.06383740901947021
[32],linear,25,0.01,16,3324.575232043137,131686453.94350834,-0.0912773609161377
[32],linear,25,0.01,32,3324.6458672249146,131683907.73787314,-0.09125626087188721
[32],linear,25,0.01,64,3324.5306868461967,131684769.87809864,-0.09126341342926025
[32],linear,25,0.01,128,3324.735070554348,131685878.30687103,-0.09127271175384521
[32],linear,25,0.01,256,3324.3151424405273,131684600.34137212,-0.0912621021270752
[32],linear,25,0.01,512,3324.7243302536463,131686313.87862785,-0.09127628803253174
[32],linear,25,0.001,16,3327.3029243120063,131740946.58921315,-0.0917290449142456
[32],linear,25,0.001,32,3327.174066540495,131740654.43506613,-0.09172666072845459
[32],linear,25,0.001,64,3327.1807860148706,131739793.16289257,-0.0917196273803711
[32],linear,25,0.001,128,3327.397366960797,131741861.0583194,-0.0917365550994873
[32],linear,25,0.001,256,3327.3561572717226,131741182.60242969,-0.09173095226287842
[32],linear,25,0.001,512,3327.07923944375,131740034.62949991,-0.0917215347290039
[32],linear,25,0.0001,16,3327.606760391205,131744072.80632326,-0.09175503253936768
[32],linear,25,0.0001,32,3327.5497656591347,131744598.96060072,-0.09175944328308105
[32],linear,25,0.0001,64,3327.5072217992033,131743600.17220685,-0.09175097942352295
[32],linear,25,0.0001,128,3327.4939777647082,131744316.56418878,-0.09175705909729004
[32],linear,25,0.0001,256,3327.3800059267137,131743216.13931985,-0.09174799919128418
[32],linear,25,0.0001,512,3327.5074312333654,131744424.09832653,-0.09175801277160645
[32],linear,50,0.1,16,2907.9041359461276,124120719.96117546,-0.028580665588378906
[32],linear,50,0.1,32,2928.991122440667,124264509.00237332,-0.029772281646728516
[32],linear,50,0.1,64,2921.7405771573804,124215976.60776676,-0.02937006950378418
[32],linear,50,0.1,128,2914.1486704509184,124159136.32639135,-0.028899073600769043
[32],linear,50,0.1,256,2917.002300833014,124177955.7121265,-0.029054999351501465
[32],linear,50,0.1,512,2899.893822159769,124061317.81111489,-0.02808845043182373
[32],linear,50,0.01,16,3316.703106540143,131500256.45927341,-0.08973443508148193
[32],linear,50,0.01,32,3315.975205730093,131492295.48410141,-0.0896683931350708
[32],linear,50,0.01,64,3314.8306670180596,131456952.15647428,-0.08937561511993408
[32],linear,50,0.01,128,3315.1999812294944,131470709.89764485,-0.08948957920074463
[32],linear,50,0.01,256,3315.8649839576524,131482559.0391361,-0.08958792686462402
[32],linear,50,0.01,512,3316.0093027766193,131475392.33771183,-0.08952844142913818
[32],linear,50,0.001,16,3327.216420848265,131739353.64554676,-0.09171593189239502
[32],linear,50,0.001,32,3326.8948747102845,131737231.17080197,-0.09169840812683105
[32],linear,50,0.001,64,3327.127407773553,131737420.24989343,-0.09169983863830566
[32],linear,50,0.001,128,3326.9503857776426,131735524.14406894,-0.09168410301208496
[32],linear,50,0.001,256,3327.207106588385,131738615.92635627,-0.09170973300933838
[32],linear,50,0.001,512,3327.1178570918655,131738318.72819059,-0.09170734882354736
[32],linear,50,0.0001,16,3327.399781657721,131743419.89500405,-0.09174954891204834
[32],linear,50,0.0001,32,3327.3955249740934,131743084.18184283,-0.09174680709838867
[32],linear,50,0.0001,64,3327.538370182831,131744423.08600229,-0.0917578935623169
[32],linear,50,0.0001,128,3327.3035019338586,131743248.9278418,-0.09174823760986328
[32],linear,50,0.0001,256,3327.477031267293,131743637.15719737,-0.09175145626068115
[32],linear,50,0.0001,512,3327.289234009018,131742719.78550524,-0.0917438268661499
[32],linear,100,0.1,16,3035.4751529758555,117930916.2968819,0.022713840007781982
[32],linear,100,0.1,32,3035.039182049853,117931689.7694583,0.02270740270614624
[32],linear,100,0.1,64,3034.388220397231,117930396.63431638,0.022718191146850586
[32],linear,100,0.1,128,3033.8062469266165,117927082.50546429,0.02274554967880249
[32],linear,100,0.1,256,3033.6558686651038,117932155.39488484,0.02270352840423584
[32],linear,100,0.1,512,3035.0528643950643,117930185.561245,0.022720038890838623
[32],linear,100,0.01,16,3277.287131773687,130468137.63363443,-0.08118140697479248
[32],linear,100,0.01,32,3277.9876470488366,130483469.57453535,-0.08130848407745361
[32],linear,100,0.01,64,3279.9056100453386,130494931.00593875,-0.08140337467193604
[32],linear,100,0.01,128,3277.4822850433065,130475881.58987714,-0.0812455415725708
[32],linear,100,0.01,256,3278.558489175812,130483632.80316205,-0.08130979537963867
[32],linear,100,0.01,512,3278.073709227223,130466301.57468253,-0.08116614818572998
[32],linear,100,0.001,16,3327.00989792058,131730767.46883637,-0.09164464473724365
[32],linear,100,0.001,32,3326.6873998558135,131727770.69979484,-0.09161996841430664
[32],linear,100,0.001,64,3326.44973252023,131728241.90900944,-0.09162366390228271
[32],linear,100,0.001,128,3326.3579048477964,131724607.65341903,-0.09159362316131592
[32],linear,100,0.001,256,3326.446508740125,131724393.56557445,-0.09159195423126221
[32],linear,100,0.001,512,3326.569067389346,131727141.50477266,-0.09161460399627686
[32],linear,100,0.0001,16,3327.4536527229,131743595.17002685,-0.09175097942352295
[32],linear,100,0.0001,32,3327.4262743378113,131743494.49089445,-0.09175026416778564
[32],linear,100,0.0001,64,3327.3982473578626,131743122.345845,-0.09174716472625732
[32],linear,100,0.0001,128,3327.3224828634634,131741273.5089867,-0.09173178672790527
[32],linear,100,0.0001,256,3327.351031034324,131742520.54667848,-0.09174203872680664
[32],linear,100,0.0001,512,3327.2002825971954,131741761.68042506,-0.09173572063446045
[32],linear,250,0.1,16,3008.759755545087,117948228.38431679,0.022570431232452393
[32],linear,250,0.1,32,3008.808892661227,117948334.53014095,0.02256953716278076
[32],linear,250,0.1,64,3008.802475605295,117948314.69151694,0.02256953716278076
[32],linear,250,0.1,128,3008.813070305721,117948340.04361086,0.02256941795349121
[32],linear,250,0.1,256,3008.8331664844095,117948345.03798938,0.022569358348846436
[32],linear,250,0.1,512,3008.8042474433505,117948330.53563838,0.022569596767425537
[32],linear,250,0.01,16,3171.2383847833507,126961156.05606115,-0.05211913585662842
[32],linear,250,0.01,32,3170.656326323804,126961012.33030428,-0.05211794376373291
[32],linear,250,0.01,64,3171.4001736846453,126963052.41537134,-0.05213499069213867
[32],linear,250,0.01,128,3169.010819363254,126948363.41061725,-0.05201315879821777
[32],linear,250,0.01,256,3170.1160255285213,126955987.5625157,-0.05207645893096924
[32],linear,250,0.01,512,3166.899737159366,126937574.87357882,-0.05192387104034424
[32],linear,250,0.001,16,3322.738950721009,131642058.51065357,-0.09090960025787354
[32],linear,250,0.001,32,3322.398874493244,131634961.64885598,-0.09085071086883545
[32],linear,250,0.001,64,3322.686740786774,131638448.24900039,-0.09087967872619629
[32],linear,250,0.001,128,3322.931263132953,131642920.68208253,-0.09091675281524658
[32],linear,250,0.001,256,3322.346717494904,131636338.07120945,-0.09086215496063232
[32],linear,250,0.001,512,3322.555752466859,131633387.76535532,-0.09083759784698486
[32],linear,250,0.0001,16,3327.1379161894533,131740528.18891464,-0.09172558784484863
[32],linear,250,0.0001,32,3327.3878977581658,131741755.922923,-0.09173583984375
[32],linear,250,0.0001,64,3327.120521786891,131739634.45010337,-0.09171819686889648
[32],linear,250,0.0001,128,3327.140791695931,131739539.70478684,-0.09171736240386963
[32],linear,250,0.0001,256,3327.095076270186,131740069.15148968,-0.09172189235687256
[32],linear,250,0.0001,512,3327.060777283781,131739130.56055059,-0.09171402454376221
[32],sigmoid,1,0.1,16,3325.3605611696867,131728804.26721948,-0.0916285514831543
[32],sigmoid,1,0.1,32,3325.4917051719754,131729470.81676276,-0.09163391590118408
[32],sigmoid,1,0.1,64,3326.012729818936,131733332.70708908,-0.09166598320007324
[32],sigmoid,1,0.1,128,3325.841016462365,131732158.04765572,-0.09165632724761963
[32],sigmoid,1,0.1,256,3326.1187054892594,131734073.0705583,-0.09167206287384033
[32],sigmoid,1,0.1,512,3325.80230556264,131732068.22264183,-0.09165549278259277
[32],sigmoid,1,0.01,16,3327.2639214545316,131742456.85444526,-0.09174168109893799
[32],sigmoid,1,0.01,32,3327.0073639318384,131740777.69081275,-0.09172773361206055
[32],sigmoid,1,0.01,64,3327.322087586364,131742756.87886034,-0.091744065284729
[32],sigmoid,1,0.01,128,3327.0734812711307,131741149.09067492,-0.09173071384429932
[32],sigmoid,1,0.01,256,3327.2772873831073,131742484.1847157,-0.09174203872680664
[32],sigmoid,1,0.01,512,3327.4714042684013,131743842.1158936,-0.09175300598144531
[32],sigmoid,1,0.001,16,3327.44736402172,131743608.97909486,-0.09175121784210205
[32],sigmoid,1,0.001,32,3328.040940654285,131747665.8755305,-0.09178471565246582
[32],sigmoid,1,0.001,64,3327.382927170127,131743396.5022704,-0.09174931049346924
[32],sigmoid,1,0.001,128,3327.822251634659,131746216.42477776,-0.09177267551422119
[32],sigmoid,1,0.001,256,3327.5314946627873,131744253.18807785,-0.09175646305084229
[32],sigmoid,1,0.001,512,3327.7646001649364,131745868.57231298,-0.09176981449127197
[32],sigmoid,1,0.0001,16,3327.8058374256048,131746221.65894668,-0.09177279472351074
[32],sigmoid,1,0.0001,32,3327.2551161989427,131742378.6017422,-0.09174096584320068
[32],sigmoid,1,0.0001,64,3327.5246944597898,131744251.44900331,-0.09175658226013184
[32],sigmoid,1,0.0001,128,3327.464197768855,131743972.81114921,-0.09175419807434082
[32],sigmoid,1,0.0001,256,3327.490024502784,131744204.07001585,-0.09175622463226318
[32],sigmoid,1,0.0001,512,3327.4580262781046,131743787.13015166,-0.09175264835357666
[32],sigmoid,10,0.1,16,3306.0488514212825,131592055.73826252,-0.09049522876739502
[32],sigmoid,10,0.1,32,3307.177857324415,131603656.25257793,-0.09059131145477295
[32],sigmoid,10,0.1,64,3306.224032093529,131592968.16046888,-0.09050261974334717
[32],sigmoid,10,0.1,128,3305.2443622191477,131583361.14879547,-0.0904231071472168
[32],sigmoid,10,0.1,256,3307.0202807236897,131599885.56104128,-0.0905599594116211
[32],sigmoid,10,0.1,512,3305.774392998073,131591689.34747975,-0.0904921293258667
[32],sigmoid,10,0.01,16,3325.1411561889718,131727329.55166636,-0.09161627292633057
[32],sigmoid,10,0.01,32,3325.822665933869,131732355.93906932,-0.09165775775909424
[32],sigmoid,10,0.01,64,3325.6295583978067,131730722.41326167,-0.091644287109375
[32],sigmoid,10,0.01,128,3325.88251183834,131732465.4698588,-0.09165871143341064
[32],sigmoid,10,0.01,256,3325.5239493527333,131729846.91384943,-0.0916370153427124
[32],sigmoid,10,0.01,512,3326.1161058002212,131734178.12238693,-0.09167301654815674
[32],sigmoid,10,0.001,16,3327.414179562451,131743436.89384884,-0.09174966812133789
[32],sigmoid,10,0.001,32,3327.2611424247766,131742488.16083819,-0.09174191951751709
[32],sigmoid,10,0.001,64,3327.569155863457,131744450.31591193,-0.091758131980896
[32],sigmoid,10,0.001,128,3326.9598528428887,131740502.17550746,-0.09172534942626953
[32],sigmoid,10,0.001,256,3327.4799569244888,131743820.52529962,-0.09175288677215576
[32],sigmoid,10,0.001,512,3326.6614754951033,131738467.60867372,-0.09170854091644287
[32],sigmoid,10,0.0001,16,3327.285475514255,131742648.18498787,-0.0917431116104126
[32],sigmoid,10,0.0001,32,3327.477413349024,131744002.54772581,-0.09175443649291992
[32],sigmoid,10,0.0001,64,3327.2919137287913,131742778.18307559,-0.0917443037033081
[32],sigmoid,10,0.0001,128,3327.8534556090217,131746441.80122353,-0.091774582862854
[32],sigmoid,10,0.0001,256,3327.0505987283677,131740999.09062357,-0.09172952175140381
