Kernel,Pooling,Optimizer,Epochs,Loss,Accuracy,Precision,Recall,F1-Score
5,avg,Adam,5,0.7209166719023224,70.07,0.7045551889225445,0.7007000000000001,0.698706564410515
5,avg,Adam,50,0.1470688555170508,70.93,0.7097585176098488,0.7093,0.7082487842090651
5,avg,Adam,100,0.0467239561338273,69.88,0.7075799757494335,0.6988000000000001,0.7011573942808365
5,avg,Adam,250,0.0004097895972799007,72.28,0.7226455283993782,0.7228,0.7225937771050408
5,avg,Adam,350,9.96770746389623e-05,72.27,0.7229332372395196,0.7227,0.7227004527642691
7,max,SGD,5,0.7293123721009325,69.59,0.7110703333108754,0.6959,0.6929907225911438
7,max,SGD,50,0.05405457012231469,72.58,0.7262028492255386,0.7258000000000001,0.7239830113764654
7,max,SGD,100,0.0002067101360617272,74.19,0.7418366634490955,0.7419,0.7417562240703742
7,max,SGD,250,0.00019618667117247054,74.18,0.7417044037356425,0.7418,0.7416387620898137
7,max,SGD,350,0.00017714525904262895,74.22,0.7420953910124796,0.7422000000000002,0.7420220625797881
7,max,RMSprop,5,2.3033646689656444,10.0,0.01,0.1,0.01818181818181818
7,max,RMSprop,50,2.3033510303253406,10.0,0.01,0.1,0.01818181818181818
7,max,RMSprop,100,2.3034600863981125,10.0,0.01,0.1,0.01818181818181818
7,max,RMSprop,250,2.3033751203580892,10.0,0.01,0.1,0.01818181818181818
7,max,RMSprop,350,2.3034236394535856,10.0,0.01,0.1,0.01818181818181818
7,max,Adam,5,0.6275002771936109,69.9,0.709072985171952,0.6990000000000001,0.7000531399371612
7,max,Adam,50,0.09159543000333145,69.55,0.6980841108461393,0.6955,0.6954281195623928
7,max,Adam,100,0.08083914608225379,69.83,0.7012785153520288,0.6982999999999999,0.6987918872038705
7,max,Adam,250,1.0704181499292349e-05,71.98,0.7211498636931755,0.7198,0.720317996797856
7,max,Adam,350,5.893587919318864e-06,71.97,0.7207730607462658,0.7197,0.7200897592880746
7,avg,SGD,5,0.9236220662551158,65.15,0.6607087805246987,0.6515,0.6448853472213293
7,avg,SGD,50,0.14827818569281828,70.49,0.702016163035802,0.7049,0.7023829543129041
7,avg,SGD,100,0.00048793594384461146,72.11,0.7212232310988356,0.7211,0.7210500249585695
7,avg,SGD,250,0.00043182311769541533,72.12,0.7212440034128837,0.7212,0.7210978219512075
7,avg,SGD,350,0.00040811251322238627,72.13,0.7213439540380786,0.7213,0.7212002751688558
7,avg,RMSprop,5,1.9519585035646054,33.27,0.3236303294359134,0.3327,0.31085866445868604
7,avg,RMSprop,50,1.3484383885512876,45.92,0.4993897760627589,0.45920000000000005,0.4592805210158935
7,avg,RMSprop,100,0.7469165229126621,58.09,0.5852118265808255,0.5809,0.5818827425066433
7,avg,RMSprop,250,0.6435840616140829,57.55,0.5791226829314379,0.5755,0.5761736402507396
7,avg,RMSprop,350,0.5757449491859397,57.12,0.5748470090719648,0.5711999999999999,0.5725000549342965
7,avg,Adam,5,0.7155107203346994,69.26,0.6950440908143628,0.6926,0.6886518127001537
7,avg,Adam,50,0.16397598254330017,70.66,0.707340306701701,0.7066,0.7048065521583403
7,avg,Adam,100,0.06995497088965096,69.81,0.7035195581766337,0.6980999999999999,0.6984357095005093
7,avg,Adam,250,0.06274980206109221,69.6,0.7001267874299159,0.696,0.6969204000756994
7,avg,Adam,350,7.83297239724417e-06,71.91,0.7182946813141273,0.7191,0.7186111166139587
