Kernel Size,Pooling Type,Optimizer,Epochs,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Precision,Recall,F1-Score
3,avg,SGD,5,1.4782672490283941,0.4707,1.4845024621233027,0.4643,0.4794238611057929,0.46375986891237203,0.46010296066598794
3,avg,SGD,50,0.9168348008659994,0.6761,1.0862303957026056,0.6201333333333333,0.6318157793719454,0.6200047926564106,0.6184856528300129
3,avg,SGD,100,1.0171813915489585,0.63995,1.1826354843504885,0.5871666666666666,0.5967257043489248,0.5873789832895635,0.5827650925262197
3,avg,SGD,250,0.9408949640146487,0.6636,1.1457577578564908,0.6042333333333333,0.6117789363085995,0.603815556131307,0.6024705335695408
3,avg,SGD,350,0.8957044797338498,0.6824,1.1504717380442517,0.6063666666666667,0.61639785182551,0.6059261571931186,0.6051457290716702
3,avg,RMSprop,5,1.6495394638389538,0.4061,2.0525292249436076,0.3149666666666667,0.40908611210052676,0.31586652745227745,0.30748384663549944
3,avg,RMSprop,50,1.586617116715498,0.4329,1.6502611459569727,0.42306666666666665,0.464252349910264,0.4223253637418929,0.4196904934882868
3,avg,RMSprop,100,1.644017631081259,0.40955,2.0628271691342617,0.30273333333333335,0.34676649065305515,0.3026485599836918,0.2751007361875878
3,avg,RMSprop,250,1.6118178891528183,0.4311,2.0137693024696186,0.3199666666666667,0.4149210136873225,0.3209137145383568,0.3098062547226456
3,avg,RMSprop,350,1.5363025065440281,0.44935,1.6839234032529466,0.41286666666666666,0.43739640364385635,0.4115326947917837,0.39005339120001886
3,avg,Adam,5,1.199866896601999,0.57195,1.205583693626079,0.5735333333333333,0.5876431686876967,0.5734913535710184,0.5754286308909278
3,avg,Adam,50,0.8435721040531329,0.702,1.028554784490707,0.6424666666666666,0.6525068769275816,0.6418735619904956,0.6401169746371471
3,avg,Adam,100,0.8908930018449285,0.68415,1.071434108500785,0.6306666666666667,0.6404749397333581,0.6304695175058168,0.6291700375675913
3,avg,Adam,250,0.7799530090040462,0.72535,1.0398374321612907,0.6421,0.6541297816029917,0.641831636088018,0.6411586817183499
3,avg,Adam,350,0.6694463388935016,0.76445,1.0033984765093378,0.6648666666666667,0.6617604503426806,0.6646008526322873,0.6620601441853298
5,max,SGD,5,1.3393052011538462,0.517,1.3271549630672375,0.5215,0.5195781492587102,0.5210354671490378,0.5142617482669453
5,max,SGD,50,0.6910600079472657,0.7559,0.9719466204338886,0.6714333333333333,0.673984290843137,0.671275164314692,0.6674410327076767
5,max,SGD,100,0.7829519286277188,0.71955,1.0327541399509348,0.6563333333333333,0.6761184326673153,0.6563352916177883,0.6566019886878112
5,max,SGD,250,0.6942728370617909,0.7532,0.962967734894854,0.6763666666666667,0.6832094620251704,0.6757359329787893,0.6767045431717953
5,max,SGD,350,0.8076632994755059,0.7099,1.005425919877722,0.6542,0.6613779552733459,0.6536166970195708,0.648801142023623
5,max,RMSprop,5,2.1121640896341605,0.20405,2.127094878541662,0.19623333333333334,0.20161420474958253,0.1967398400896086,0.16349574315841472
